INDEX-Name-Age-Country-Height-Hair_Colour-YLA-CONF
0-#]Jeanne Wallace-86-CODE:MY-157-White-1-YES
130-#]John Garrett-46-CODE:CG-179-White-1-YES
131-#]Tina Grim-73-CODE:BR-140-Ginger-1-YES
132-#]Lillian Oneal-54-CODE:LS-200-Black-1-YES
133-#]David Gil-20-CODE:FR-198-White-1-YES
134-#]Lee Douglas-70-CODE:VU-143-Black-1-YES
135-#]Billy Johnson-36-CODE:GT-176-Black-1-YES
136-#]Theresa Ray-56-CODE:MP-143-Brown-1-YES
137-#]Gene Walker-56-CODE:SB-159-White-1-YES
138-#]Kevin Moody-77-CODE:FO-200-White-1-YES
139-#]Karen Garza-71-CODE:IT-188-Ginger-1-YES
140-#]Lynnette Hardin-54-CODE:MO-199-White-1-YES
141-#]Joseph Sanderson-69-CODE:TW-191-Black-1-YES
142-#]Roberto Zirin-80-CODE:NZ-174-Brown-1-YES
143-#]Beverly Booth-74-CODE:BH-183-Black-1-YES
144-#]Diane Herron-48-CODE:NI-182-Black-1-YES
145-#]John Newman-62-CODE:ST-169-Brown-1-YES
146-#]Mary Meredith-82-CODE:NR-192-White-1-YES
147-#]Leon Werley-76-CODE:NO-180-Brown-1-YES
148-#]Sina Willis-53-CODE:JP-184-White-1-YES
149-#]Darin Taylor-26-CODE:CY-195-Black-1-YES
150-#]Norman Brown-37-CODE:GH-157-White-1-YES
151-#]Ronnie Thompson-38-CODE:LY-200-Blonde-1-YES
152-#]Linda Whitehair-40-CODE:IQ-144-Ginger-1-YES
153-#]Derek Beavers-24-CODE:SG-153-Dyed-1-YES
154-#]Shari Baskerville-67-CODE:NL-143-Black-1-YES
155-#]Carson Mayorga-24-CODE:LT-183-White-1-YES
156-#]Jared Sortore-31-CODE:BE-187-Black-1-YES
157-#]Samuel Carlo-52-CODE:TD-199-Ginger-1-YES
158-#]Cindy Jones-55-CODE:AI-186-Brown-1-YES
159-#]Dominique Beard-32-CODE:LI-186-Blonde-1-YES
160-#]Melanie Meza-64-CODE:NL-186-Blonde-1-YES
161-#]Barbara Magnuson-75-CODE:RW-198-White-1-YES
162-#]Stephen Moran-67-CODE:SN-172-Black-1-YES
163-#]Daniel Stavnes-86-CODE:ET-174-White-1-YES
164-#]Traci Kowis-42-CODE:SE-191-White-1-YES
165-#]Brain Stegall-34-CODE:GR-142-Black-1-YES
166-#]Paul Trout-32-CODE:KI-175-White-1-YES
167-#]Paul Gagne-73-CODE:YU-194-Brown-1-YES
168-#]Shirley Garcia-22-CODE:BA-183-Brown-1-YES
169-#]Rose Freas-70-CODE:QA-178-Black-1-YES
170-#]Pedro Beebe-28-CODE:SI-186-Blonde-1-YES
171-#]Elbert Johnson-63-CODE:BN-188-Ginger-1-YES
172-#]Dwayne Duffey-87-CODE:SK-151-Black-1-YES
173-#]Lillie Brown-43-CODE:AI-148-Blonde-1-YES
174-#]James Wilbanks-86-CODE:MR-170-Blonde-1-YES
175-#]Tasha Rigdon-45-CODE:AF-196-Black-1-YES
176-#]Mae Ayala-27-CODE:CZ-151-Black-1-YES
177-#]Shelia Atkins-85-CODE:ES-167-Black-1-YES
178-#]Deborah Smith-78-CODE:GP-156-Ginger-1-YES
179-#]Estella Rhodes-20-CODE:FK-142-White-1-YES
180-#]Carrie Ulrich-42-CODE:ET-149-White-1-YES
181-#]Jennifer Hartwig-29-CODE:TK-189-Brown-1-YES
182-#]Sherry Antonio-39-CODE:BH-193-Ginger-1-YES
183-#]Paul Johnson-81-CODE:KP-188-White-1-YES
184-#]Gerald Stremming-74-CODE:BV-154-White-1-YES
185-#]Collin Mccalla-49-CODE:CC-160-Ginger-1-YES
186-#]Robert Sandvik-60-CODE:TH-156-Blonde-1-YES
187-#]Anthony Davila-60-CODE:NR-150-White-1-YES
188-#]Deborah Anderson-31-CODE:PM-166-Blonde-1-YES
189-#]Delores Ruiz-28-CODE:MW-171-Ginger-1-YES
190-#]Julio Evans-62-CODE:AF-178-Black-1-YES
191-#]Michael Beech-48-CODE:MK-158-Brown-1-YES
192-#]Sean Barriere-41-CODE:HT-176-Black-1-YES
193-#]Alfredo Richardson-22-CODE:PG-142-Blonde-1-YES
194-#]David Medina-79-CODE:NR-147-Blonde-1-YES
195-#]Juan Allen-46-CODE:CR-179-Blonde-1-YES
196-#]Isabel Burton-23-CODE:IR-157-White-1-YES
197-#]Terrell Mcglothin-69-CODE:TZ-170-Blonde-1-YES
198-#]Gregory Wilken-66-CODE:DM-157-Brown-1-YES
199-#]Vera Espinosa-80-CODE:CY-177-Brown-1-YES
200-#]Bettie Branch-51-CODE:BV-168-Black-1-YES
201-#]Jenny Turner-70-CODE:GH-196-Black-1-YES
202-#]Guillermo Mills-34-CODE:NU-183-Black-1-YES
203-#]Belen Garza-87-CODE:CZ-161-Blonde-1-YES
204-#]Larry Bradley-51-CODE:CG-145-Black-1-YES
205-#]Scott Thibodeaux-54-CODE:MK-153-Blonde-1-YES
206-#]Larry Davis-71-CODE:BJ-192-White-1-YES
207-#]Donald White-50-CODE:ST-182-Black-1-YES
208-#]Rita Carstarphen-77-CODE:EH-147-Black-1-YES
209-#]Betty Tierney-37-CODE:CU-151-White-1-YES
210-#]Sandy Encino-72-CODE:SO-195-Black-1-YES
211-#]Andrea Flanagan-60-CODE:KE-171-Dyed-1-YES
212-#]Christin Prouty-25-CODE:VN-180-Blonde-1-YES
213-#]James Gore-24-CODE:MU-143-White-1-YES
214-#]Jesse Hinojosa-86-CODE:WS-191-Brown-1-YES
215-#]Linda Lenigan-57-CODE:GE-150-Black-1-YES
216-#]Holly Morris-25-CODE:LS-150-Dyed-1-YES
217-#]Clarice Mcneil-64-CODE:GF-161-Ginger-1-YES
218-#]Melody Roberts-29-CODE:MK-152-Black-1-YES
219-#]Michael Calhoun-40-CODE:SB-192-Dyed-1-YES
220-#]Marilyn Smith-39-CODE:GE-164-Blonde-1-YES
221-#]Holly Lopez-70-CODE:CH-150-Black-1-YES
222-#]Corrin Bowden-67-CODE:GE-142-Black-1-YES
223-#]Lucille Gilliam-39-CODE:BO-200-White-1-YES
224-#]Natalia Rincon-40-CODE:ZR-154-Blonde-1-YES
225-#]Eddie William-68-CODE:AU-188-Dyed-1-YES
226-#]Socorro Franzoni-63-CODE:HK-171-White-1-YES
227-#]Ralph Torres-38-CODE:BJ-157-Blonde-1-YES
228-#]Maria Lampkin-61-CODE:GT-154-Brown-1-YES
229-#]Edward Hedges-44-CODE:KE-175-Dyed-1-YES
230-#]Dorothy Bolden-20-CODE:LB-169-Brown-1-YES
231-#]Nicholas Curry-31-CODE:NZ-150-Black-1-YES
232-#]Timothy Ault-73-CODE:ER-154-Black-1-YES
233-#]Fatima Ketcher-46-CODE:LT-196-Ginger-1-YES
234-#]Thomas Ridgeway-56-CODE:BZ-182-Black-1-YES
235-#]Jon Bushey-74-CODE:FR-155-Black-1-YES
236-#]Dewayne Freeman-40-CODE:ML-170-Brown-1-YES
237-#]Lindsey Henson-86-CODE:JP-177-White-1-YES
238-#]Santina Stiff-77-CODE:BE-144-Blonde-1-YES
239-#]Carrie Brown-86-CODE:IT-186-Ginger-1-YES
240-#]Pauline Jones-54-CODE:AG-164-Blonde-1-YES
241-#]Kim Novak-18-CODE:PK-179-White-1-YES
242-#]Terry Steppe-74-CODE:TD-196-Brown-1-YES
243-#]Katie Charley-38-CODE:CU-154-Black-1-YES
244-#]Susan Cox-64-CODE:BW-151-Blonde-1-YES
245-#]Jennie Williams-62-CODE:GA-189-Blonde-1-YES
246-#]Lowell Schultz-33-CODE:TJ-193-Brown-1-YES
247-#]James Hatton-33-CODE:GT-200-White-1-YES
248-#]Frank Nance-21-CODE:AT-165-White-1-YES
249-#]Ellis Williams-67-CODE:SA-157-Black-1-YES
250-#]John Phillips-36-CODE:LU-171-Brown-1-YES
251-#]Robin Scott-44-CODE:LB-144-Dyed-1-YES
252-#]Loren Yao-42-CODE:TP-197-Brown-1-YES
253-#]Charles Schaich-62-CODE:LU-192-Black-1-YES
254-#]Ismael Mong-70-CODE:CR-198-Brown-1-YES
255-#]Carolyn Lehman-82-CODE:CY-162-Ginger-1-YES
256-#]Ken Whitmire-64-CODE:GE-144-Black-1-YES
257-#]Louis Flores-64-CODE:SH-160-Blonde-1-YES
258-#]Sharon Foster-52-CODE:JM-165-Brown-1-YES
259-#]Amanda Matheson-58-CODE:EH-196-Ginger-1-YES
260-#]Christopher Hooten-43-CODE:GM-171-Ginger-1-YES
261-#]Jodi Danforth-75-CODE:MH-154-Dyed-1-YES
262-#]Eddie Bibbs-49-CODE:MT-195-Blonde-1-YES
263-#]John Wright-84-CODE:TP-197-Blonde-1-YES
264-#]Keith Hampton-30-CODE:AI-173-Black-1-YES
265-#]Deborah Sigler-36-CODE:KZ-167-Black-1-YES
266-#]Kimberly Carson-43-CODE:TP-198-Black-1-YES
267-#]Maurice Butler-55-CODE:GL-164-Brown-1-YES
268-#]Susan Rosier-47-CODE:KZ-189-Blonde-1-YES
269-#]Winston Davin-73-CODE:EH-177-Ginger-1-YES
270-#]Toni Demarest-35-CODE:NU-197-Blonde-1-YES
271-#]Brittany Mayer-60-CODE:FR-152-Black-1-YES
272-#]Jeannette Hadley-79-CODE:GP-179-Black-1-YES
273-#]Marvin Cordell-25-CODE:KY-159-Dyed-1-YES
274-#]Joseph Smith-48-CODE:VE-193-Black-1-YES
275-#]Marsha Toney-52-CODE:CC-176-Black-1-YES
276-#]Christy Gliem-33-CODE:AZ-184-Brown-1-YES
277-#]Bruce Spain-69-CODE:ID-181-Blonde-1-YES
278-#]Donald Graves-22-CODE:EG-161-Brown-1-YES
279-#]Trevor Ramirez-43-CODE:LB-195-Black-1-YES
280-#]Lenora Vastardis-79-CODE:TT-171-Ginger-1-YES
281-#]Stacey Boone-72-CODE:BD-200-Blonde-1-YES
282-#]Michael Massanelli-54-CODE:AT-163-Blonde-1-YES
283-#]Tracy Puga-80-CODE:ST-157-Black-1-YES
284-#]Darlene Collins-82-CODE:SV-165-Black-1-YES
285-#]Brenda Kelley-26-CODE:AI-161-Ginger-1-YES
286-#]Angeles Kirtley-51-CODE:ZM-182-Black-1-YES
287-#]Shawnna Lewis-32-CODE:GW-150-Black-1-YES
288-#]Phillip Jordan-29-CODE:KZ-177-Ginger-1-YES
289-#]Jennifer Silkwood-32-CODE:MS-195-Blonde-1-YES
290-#]Jose Oberley-35-CODE:KZ-152-Black-1-YES
291-#]Lois Poyner-60-CODE:IE-194-Brown-1-YES
292-#]Thomas Hudson-21-CODE:KM-182-Black-1-YES
293-#]Ezra Ayers-81-CODE:LC-186-White-1-YES
294-#]Hershel Willis-25-CODE:PF-186-Dyed-1-YES
295-#]Thomas Torres-58-CODE:PF-157-Black-1-YES
296-#]Kory White-55-CODE:BT-140-White-1-YES
297-#]Lanny Wilke-28-CODE:BW-159-Ginger-1-YES
298-#]Minnie Pecanty-49-CODE:PK-196-Black-1-YES
299-#]Debbie Lynch-62-CODE:IR-163-Brown-1-YES
300-#]Martha Campbell-53-CODE:PE-165-Blonde-1-YES
301-#]Christopher Ferland-86-CODE:TV-196-Black-1-YES
302-#]Dorothy Rivera-48-CODE:BM-171-Brown-1-YES
303-#]David Yarberry-80-CODE:FO-193-White-1-YES
304-#]Dorothy Garcia-49-CODE:ML-160-Ginger-1-YES
305-#]Charles Agudo-81-CODE:MA-140-Black-1-YES
306-#]Nicole Mclean-79-CODE:PH-183-Ginger-1-YES
307-#]Willie Jones-24-CODE:MO-157-Blonde-1-YES
308-#]David Dalton-25-CODE:AN-142-Brown-1-YES
309-#]Gina Maring-43-CODE:AG-175-Blonde-1-YES
310-#]Kathy Birch-84-CODE:GT-169-Black-1-YES
311-#]Mindy Betts-65-CODE:HK-194-Blonde-1-YES
312-#]Brenda Owen-64-CODE:GQ-157-Black-1-YES
313-#]Johnathon Diaz-62-CODE:GY-141-Black-1-YES
314-#]Lucia Stokes-29-CODE:AD-162-Blonde-1-YES
315-#]Kenneth Speaks-39-CODE:GL-161-Brown-1-YES
316-#]Lisa Backus-53-CODE:RU-184-Blonde-1-YES
317-#]Roland Kilpatrick-23-CODE:SN-178-Blonde-1-YES
318-#]Tiffany Wilson-70-CODE:AO-152-Blonde-1-YES
319-#]William Townsend-25-CODE:DJ-160-White-1-YES
320-#]Jason Cumming-87-CODE:BY-150-White-1-YES
321-#]Callie Hakimian-78-CODE:CM-198-Brown-1-YES
322-#]Fred Danker-38-CODE:KM-164-Black-1-YES
323-#]Lai Gonzalez-71-CODE:SN-144-Black-1-YES
324-#]William Welch-50-CODE:MV-148-Blonde-1-YES
325-#]Ruth Fowler-87-CODE:AM-179-Blonde-1-YES
326-#]Penny Currier-70-CODE:HU-177-Dyed-1-YES
327-#]Nicole Senz-61-CODE:CL-174-White-1-YES
328-#]Michael Mitchell-38-CODE:PL-152-Black-1-YES
329-#]Carl Lewis-45-CODE:KY-179-Ginger-1-YES
330-#]Thomas Taylor-53-CODE:BR-184-White-1-YES
331-#]Everett Burhans-86-CODE:BO-148-Black-1-YES
332-#]Patrick Taylor-58-CODE:TR-168-Blonde-1-YES
333-#]Marie Camel-62-CODE:GD-171-Black-1-YES
334-#]Min Baridon-25-CODE:NR-161-Dyed-1-YES
335-#]Peggy Cross-69-CODE:AZ-187-Brown-1-YES
336-#]Brittney Smith-68-CODE:PA-191-Black-1-YES
337-#]John Moro-32-CODE:CL-174-Black-1-YES
338-#]Christy Goodwin-65-CODE:KR-151-Ginger-1-YES
339-#]Maria Lytch-80-CODE:AT-194-Black-1-YES
340-#]Andrew Hopson-20-CODE:EE-152-White-1-YES
341-#]Raymond Kleman-74-CODE:TR-147-White-1-YES
342-#]Mary Rudish-36-CODE:ER-169-Brown-1-YES
343-#]Evelyn Graf-65-CODE:HR-195-Black-1-YES
344-#]Clifford Domhoff-59-CODE:AO-150-Black-1-YES
345-#]Cecilia Maxwell-54-CODE:PF-168-Blonde-1-YES
346-#]Doreen Barger-71-CODE:AS-161-White-1-YES
347-#]Kenneth Rathbun-20-CODE:MU-161-Brown-1-YES
348-#]Ben Wenstrom-26-CODE:IS-193-Black-1-YES
349-#]Carole Rosario-87-CODE:GT-170-Brown-1-YES
350-#]Tom Hartman-47-CODE:BN-174-Black-1-YES
351-#]Marcia Nieves-65-CODE:SY-143-Blonde-1-YES
352-#]Gary Tunstall-44-CODE:US-162-Brown-1-YES
353-#]Jean Hinds-48-CODE:BT-150-Black-1-YES
354-#]Wesley Polowy-54-CODE:ZA-186-Black-1-YES
355-#]Dwight King-71-CODE:EH-168-Ginger-1-YES
356-#]Eric Cunningham-75-CODE:TH-184-Blonde-1-YES
357-#]Barbara Ward-69-CODE:YU-176-Black-1-YES
358-#]William White-77-CODE:GW-145-Dyed-1-YES
359-#]Mark Crowe-46-CODE:DK-160-Blonde-1-YES
360-#]Robert Smith-74-CODE:AO-155-Black-1-YES
361-#]Jamie Hickman-87-CODE:SV-150-White-1-YES
362-#]John Bittner-61-CODE:DM-150-Black-1-YES
363-#]Michael Wolfe-23-CODE:MG-156-White-1-YES
364-#]Nelda Wellman-67-CODE:UY-140-Blonde-1-YES
365-#]Phillip Eppinger-19-CODE:JP-182-Black-1-YES
366-#]Claude Papay-86-CODE:TM-183-Black-1-YES
367-#]Eva Himes-37-CODE:MK-196-Brown-1-YES
368-#]Laura Vann-33-CODE:YE-149-Blonde-1-YES
369-#]Eric Sweeney-19-CODE:SL-170-Ginger-1-YES
370-#]Mickey Pulliam-51-CODE:YE-178-Blonde-1-YES
371-#]Patrick Aderholt-54-CODE:KN-178-Blonde-1-YES
372-#]Amy Griffin-30-CODE:OM-163-Blonde-1-YES
373-#]John Turner-82-CODE:BJ-151-Black-1-YES
374-#]Margo Blankenship-18-CODE:GT-185-Ginger-1-YES
375-#]John Goldberg-38-CODE:SD-144-Blonde-1-YES
376-#]Nancy Brown-74-CODE:MZ-153-White-1-YES
377-#]Joseph Delfin-48-CODE:MG-141-Black-1-YES
378-#]Mary Nostrand-35-CODE:BW-191-Brown-1-YES
379-#]Rose Wendel-81-CODE:KY-184-Black-1-YES
380-#]Shanell Turrentine-81-CODE:FO-147-Blonde-1-YES
381-#]David Seiler-38-CODE:EE-174-Blonde-1-YES
382-#]Lavonne Leftwich-63-CODE:ID-191-Dyed-1-YES
383-#]Delilah Rodriguez-29-CODE:JP-177-Brown-1-YES
384-#]Lily Kelly-22-CODE:NO-156-Black-1-YES
385-#]Angelia Mcmullen-32-CODE:QA-158-Blonde-1-YES
386-#]Gerald Larez-30-CODE:AU-199-Dyed-1-YES
387-#]Kim Hill-77-CODE:GH-178-Ginger-1-YES
388-#]Cristopher Sawtelle-20-CODE:LA-164-Black-1-YES
389-"#]Ann Brookshire-Willsworth-Swain"-71-CODE:NZ-189-White-1-YES
390-#]Kaitlyn Short-54-CODE:AZ-183-Dyed-1-YES
391-#]Jorge Ringel-18-CODE:EE-142-Black-1-YES
392-#]John Clark-31-CODE:GQ-156-White-1-YES
393-#]Frances Tant-27-CODE:SK-185-Blonde-1-YES
394-#]Grace Davis-40-CODE:JP-183-White-1-YES
395-#]Felipe Bagwell-23-CODE:ML-188-Black-1-YES
396-#]William Garza-30-CODE:UY-165-Ginger-1-YES
397-#]John Clark-28-CODE:AS-149-Black-1-YES
398-#]Mike Hunt-45-CODE:MX-144-White-1-YES
399-#]Debra Fox-68-CODE:AS-187-Brown-1-YES
400-#]Steve Keister-43-CODE:DZ-153-Blonde-1-YES
401-#]Jackie Gauvin-39-CODE:BW-151-Black-1-YES
402-#]Frank Brown-83-CODE:ES-184-Brown-1-YES
403-#]Terrell Peters-57-CODE:SA-157-Ginger-1-YES
404-#]Lawrence Harjo-59-CODE:BE-142-Blonde-1-YES
405-#]Allison Urias-68-CODE:AM-191-Dyed-1-YES
406-#]Betty Thornton-23-CODE:GI-162-Black-1-YES
407-#]Gerri Pierce-72-CODE:TW-186-Black-1-YES
408-#]Sheila Edwards-54-CODE:FI-146-Brown-1-YES
409-#]Raul Capps-19-CODE:SM-159-Brown-1-YES
410-#]Wanda Stpeter-74-CODE:CI-164-Blonde-1-YES
411-#]Jonathan Reese-26-CODE:SN-148-Dyed-1-YES
412-#]Tammy Ogle-41-CODE:GN-166-Black-1-YES
413-#]Orlando Hamilton-27-CODE:SL-190-Black-1-YES
414-#]Carol Stalker-56-CODE:MS-191-White-1-YES
415-#]Anita Johanson-79-CODE:CV-190-Ginger-1-YES
416-#]Mattie Bishop-49-CODE:MZ-196-Brown-1-YES
417-#]Robert Antolin-45-CODE:AZ-142-White-1-YES
418-#]Robert Tressler-69-CODE:ZW-167-Black-1-YES
419-#]Marvin Salazar-19-CODE:RO-198-Blonde-1-YES
420-#]Arthur Heisserer-55-CODE:CU-198-Black-1-YES
421-#]Lauren Luallen-28-CODE:ZM-178-White-1-YES
422-#]Shannon Brown-77-CODE:DK-153-Black-1-YES
423-#]Jeremy Faiella-68-CODE:AN-157-Blonde-1-YES
424-#]Gerald Blumenfeld-37-CODE:SH-143-Ginger-1-YES
425-#]Dennis Thomas-42-CODE:YT-144-White-1-YES
426-#]Joe Martin-86-CODE:KI-181-Brown-1-YES
427-#]Adam Wilson-72-CODE:ET-186-Brown-1-YES
428-#]Natasha Rosas-80-CODE:RU-195-Blonde-1-YES
429-#]Jeff Craig-87-CODE:GY-174-Blonde-1-YES
